hour_index,trigger,actual_compute_seconds,baseline_forecast,SARIMAX_forecast,LightGBM_forecast,selected_model,selected_forecast
267,http,2510917.6620000005,2453729.0590000004,3263910.006428455,2916370.4518911047,Historical Hour-of-Day Mean,3292338.698333333
267,orchestration,530922.37,733393.0169999999,723916.5587356902,712337.2526269949,Historical Hour-of-Day Mean,554632.6036666667
267,others,23785.417999999994,2284534.1510000005,4188815.113408899,188729.48011137324,Historical Hour-of-Day Mean,11975.072333333332
267,queue,18671366.706000004,18913272.343,18484682.787588656,18778339.99456541,Historical Hour-of-Day Mean,26478017.505166665
267,storage,677917.061,383302.89,389928.38260781526,677587.4732103474,Historical Hour-of-Day Mean,401579.89166666666
267,timer,1165076.466,1189411.0379999997,1176593.6858171325,1211447.893106887,Historical Hour-of-Day Mean,1108846.8779444443
268,event,1651793.4330000002,1393037.672,1936364.2977726625,1758117.0747210342,Historical Hour-of-Day Mean,3352291.4113333337
268,http,3041679.904999999,2391436.03,3367212.3590863477,3058319.0122521697,Historical Hour-of-Day Mean,3384070.0336991865
268,orchestration,596873.2099999998,689481.209,721833.585860301,779989.9874542655,Historical Hour-of-Day Mean,786975.8331666668
268,others,28087.99,2544273.8630000004,4672881.587039439,170898.18110248365,Historical Hour-of-Day Mean,14365.141166666666
268,queue,18777746.328,18202149.048,17781705.996939212,18398464.912864685,Historical Hour-of-Day Mean,23409383.679
268,storage,658411.1199999999,578175.1960000001,378305.6185179305,769239.8092909934,Historical Hour-of-Day Mean,378616.6601666666
268,timer,1167125.779,1211233.0969999996,1185827.6566656022,1183688.4556801282,Historical Hour-of-Day Mean,1112323.709611111
269,event,1708389.6160000004,1285245.058,1895824.826777288,1719705.55731509,Historical Hour-of-Day Mean,2722920.472833333
269,http,2821967.586999999,2442581.1810000013,3455361.8798392406,2863095.3593489723,Historical Hour-of-Day Mean,3559104.281055083
269,orchestration,556103.8020000001,585336.8919999999,673608.184405042,814272.9028835827,Historical Hour-of-Day Mean,545403.2395
269,others,18824.749,2937041.475000001,5397708.630284911,323484.25959115865,Historical Hour-of-Day Mean,11014.912333333332
269,queue,21342929.008000005,21399338.048,18094326.58475594,19405028.1993313,Historical Hour-of-Day Mean,23536400.3105
269,storage,731840.6569999998,872837.5659999999,369707.08422496135,789472.5461955845,Historical Hour-of-Day Mean,422607.706
269,timer,1142470.5480000002,1224714.676,1187843.1544629107,1210011.33802359,Historical Hour-of-Day Mean,1108115.1472777778
270,event,1687477.7269999995,1422741.2119999998,1920474.940600651,1739497.949677325,Historical Hour-of-Day Mean,2997536.7735
270,http,2575360.488999999,2621150.987,3530883.1186008267,3131866.03841818,Historical Hour-of-Day Mean,4908901.061474602
270,orchestration,645171.2580000001,598445.7469999997,674668.217489521,739894.8795832478,Historical Hour-of-Day Mean,545923.3289999999
270,others,30239.63299999999,3313018.1950000008,6091229.817780871,430685.4154544453,Historical Hour-of-Day Mean,15912.373666666668
270,queue,21762492.474,24465127.2,17459650.601992413,19552222.44160429,Historical Hour-of-Day Mean,21927592.69116668
270,storage,678753.108,559840.294,371890.3142519333,857406.0978541719,Historical Hour-of-Day Mean,659521.685
270,timer,1172825.912,1267421.694,1228347.5139639217,1231904.0693453136,Historical Hour-of-Day Mean,1141921.3539444443
271,event,1705547.24,1441121.65,1901920.818142352,1548292.4293458522,Historical Hour-of-Day Mean,2967596.981666667
271,http,2489934.6200000006,2905830.9250000026,3596406.1894791643,2944238.933275501,Historical Hour-of-Day Mean,4582646.942625149
271,orchestration,621427.582,661759.3609999999,699528.2138638018,700006.7326611491,Historical Hour-of-Day Mean,610638.8848333334
271,others,22130.187,3443759.7580000004,6338560.634560441,776862.220464208,Historical Hour-of-Day Mean,17017.087833333328
271,queue,22532949.255000003,24640741.513000008,16816334.824954934,19680119.12119208,Historical Hour-of-Day Mean,19488523.5475
271,storage,543570.6950000002,280614.28,374706.78051253816,715306.3339992668,Historical Hour-of-Day Mean,384408.2333333332
271,timer,1160499.496,1176398.0599999998,1176691.4523905448,1179211.871141928,Historical Hour-of-Day Mean,1107794.8359444444
272,event,1854864.936,1492683.468,1897409.456712501,1509424.0127144868,Historical Hour-of-Day Mean,2848593.065166667
272,http,2522986.9219999984,2768580.464,3649368.092301132,2806791.7864569486,Historical Hour-of-Day Mean,4775598.725387042
