forecast_hour,headroom_pct,point_forecast,capacity,shortage_probability,expected_shortage_compute_seconds,expected_unused_capacity
23,5,30366952.40358897,31885300.023768418,0.0903,114887.08668578892,5717532.728340014
23,10,30366952.40358897,33403647.64394787,0.0297,37268.80589872511,7158262.067732402
23,15,30366952.40358897,34921995.264127314,0.0167,9228.471581374017,8648569.353594497
23,20,30366952.40358897,36440342.88430676,0.0,0.0,10157688.502192566
23,25,30366952.40358897,37958690.50448621,0.0,0.0,11676036.122372018
23,30,30366952.40358897,39477038.12466566,0.0,0.0,13194383.74255147
23,35,30366952.40358897,40995385.74484512,0.0,0.0,14712731.362730924
23,40,30366952.40358897,42513733.36502455,0.0,0.0,16231078.98291036
23,50,30366952.40358897,45550428.605383456,0.0,0.0,19267774.22326926
24,0,30091837.55604653,30091837.55604653,0.1343,297424.6405500803,4409150.493477613
24,5,30091837.55604653,31596429.43384886,0.0908,120310.53348786788,5736628.264217728
24,10,30091837.55604653,33101021.31165119,0.033,39470.85094830668,7160380.459480493
24,15,30091837.55604653,34605613.18945351,0.0174,9496.497854831134,8634997.984189343
24,20,30091837.55604653,36110205.06725584,0.0,0.0,10130093.364136836
24,25,30091837.55604653,37614796.94505817,0.0,0.0,11634685.241939165
24,30,30091837.55604653,39119388.822860494,0.0,0.0,13139277.119741492
24,35,30091837.55604653,40623980.70066282,0.0,0.0,14643868.99754382
24,40,30091837.55604653,42128572.57846515,0.0,0.0,16148460.875346148
24,50,30091837.55604653,45137756.3340698,0.0,0.0,19157644.6309508
